	x	y
WMC1137569	342.547192228608	35.4796201810126
WMC1137570	118.412462144488	514.153483471964
WMC1137571	405.498121806013	441.537500214428
WMC1137573	321.485944725269	462.53324925244
WMC1137574	127.639306236637	528.809787842618
WMC1137575	318.702244934098	84.9402862109197
WMC1137577	87.3884588221288	532.137909685311
WMC1137578	412.554267169986	429.325440431941
WMC1137579	410.552283814383	436.150347864691
WMC1137580	336.482805979719	29.1706679358287
WMC1137582	380.30497727603	382.262999532819
WMC1137584	322.705110700158	471.920862640508
WMC1137585	345.081823935024	109.150890418355
WMC1137586	351.436420132691	72.2203796148639
WMC1137588	97.705602921429	518.126199711237
WMC1137589	347.857749338709	43.5117384558295
WMC1137590	84.8501582809942	526.482534465291
WMC1137591	425.266104414977	497.81453936246
WMC1137592	383.806255933426	447.019098014566
WMC1137593	410.937315543228	444.679153874963
WMC1137594	225.583225018133	195.449074279249
WMC1137595	398.068789517944	443.911757838298
WMC1137596	372.775405871331	69.2839281485935
WMC1137598	327.546641033654	467.41310004736
WMC1137600	345.925929889528	83.4647871985871
WMC1137601	432.122127260236	471.860323527743
WMC1137602	362.48329674702	446.623279300791
WMC1137603	340.677155618535	48.1414992806177
WMC1137604	365.154206609571	85.2900841174133
WMC1137606	374.145982225262	67.0951012258583
WMC1137607	361.213641710302	50.0644812139403
WMC1137608	333.661971884979	67.3885505481139
WMC1137609	341.716538222781	506.385239154361
WMC1137610	98.2887093325084	522.972752451632
WMC1137611	315.980817625271	48.0697754729625
WMC1137612	415.497717885184	426.45040874315
WMC1137615	343.455218154398	473.132140790671
WMC1137616	304.653024969957	426.887935094508
WMC1137619	353.821070576188	509.549566255787
WMC1137620	347.974150740137	70.4525206756829
WMC1137621	407.494327487145	471.55905168917
WMC1137622	423.096002565857	454.232336094441
WMC1137623	395.692612719377	406.26852459328
WMC1137624	334.895356054033	323.095617691756
WMC1137625	118.899828218211	536.060501171141
WMC1137626	368.422128171608	56.265126661009
WMC1137627	360.971201763984	53.3433238190536
WMC1137629	304.131186736273	340.69816665278
WMC1137630	402.979172269204	499.299311555745
WMC1137631	121.404565738405	514.59559476984
WMC1137632	352.245018065474	61.8826882003533
WMC1137633	411.446015480547	502.793001159418
WMC1137634	334.595157556667	53.0828885901994
WMC1137635	344.202248011857	81.5482861009434
WMC1137637	372.350348685568	68.481779554253
WMC1137639	338.060908985441	34.4530416505009
WMC1137640	363.605142357313	41.7553637738172
WMC1137641	325.80924549635	96.3775008332077
WMC1137642	336.047720630589	494.675366794236
WMC1137643	363.921365588926	69.0208797299514
WMC1137644	301.745253060362	59.8687011874932
WMC1137645	339.933559138519	494.443633874401
WMC1137646	336.189034702342	466.94649802842
WMC1137647	129.914297234531	507.658653390523
WMC1137648	327.048188716357	464.558316268596
WMC1137649	62.8709317588208	518.643570697428
WMC1137650	305.32334952103	81.1552200758023
WMC1137651	347.595509873966	57.3423830024787
WMC1137652	356.631956111167	45.1610332973735
WMC1137653	428.771809718358	465.134547233773
WMC1137654	233.108529887014	199.471526757029
WMC1137656	269.025630781201	249.719298982436
WMC1137658	93.3648506960155	531.544660148162
WMC1137659	348.856339054639	494.461044521439
WMC1137660	167.860258789643	184.108158984744
WMC1137661	296.404557611917	90.2804317244732
WMC1137662	397.688499445099	461.848319252333
WMC1137663	360.989666557604	52.0364676219384
WMC1137664	359.839698919338	467.822165643173
WMC1137665	96.0161469587847	539.441389669027
WMC1137667	347.539963901924	58.849612299498
WMC1137668	429.331356773572	448.39235964643
WMC1137669	370.286268192109	46.2400792011912
WMC1137670	402.635844095519	491.415916696132
WMC1137671	367.67866806167	31.6372808955236
WMC1137673	425.229848289183	460.700452881147
WMC1137674	313.968034265372	474.975066080278
WMC1137675	339.360216466634	376.672823987696
WMC1137678	406.591990224919	520.816229954489
WMC1137679	412.741004736968	437.334019475746
WMC1137680	344.506658963942	70.3598090519697
WMC1137681	349.335244668408	51.8253369836088
WMC1137682	341.594508898857	86.0631476756382
WMC1137686	235.910523553975	223.251066047734
WMC1137688	344.595794634107	43.290364270499
WMC1137691	357.876874482828	46.260347728565
WMC1137692	371.619821873322	67.7000312308731
WMC1137693	120.092781647428	519.966536943064
WMC1137694	122.376789858056	513.716693364852
WMC1137695	261.400056237417	249.349229663227
WMC1137696	409.662286854294	504.00210761722
WMC1137698	353.212722089868	40.6121300722223
WMC1137699	426.20526295403	440.3470849375
WMC1137700	409.662174949078	416.207127191356
WMC1137702	110.827228334932	540.35419076844
WMC1137703	257.818991602556	205.300959741054
WMC1137704	344.159427171401	30.527331731729
WMC1137705	348.31921153266	38.8978287769969
WMC1137706	106.231013915771	540.863187566652
WMC1137707	347.807501620458	57.0258132424241
WMC1137708	365.262013078745	64.8441565077642
WMC1137709	339.926174710121	452.694737727898
WMC1137710	274.284387732351	267.8169791706
WMC1137712	325.509068164358	493.324363591929
WMC1137713	267.945344833013	177.50840854165
WMC1137714	261.724087188048	245.02725011674
WMC1137715	348.445594651873	98.2722898497852
WMC1137716	339.257718378669	77.2737060936682
WMC1137717	102.094751255256	527.839574369619
WMC1137718	243.428230467021	213.804224148687
WMC1137719	300.541991658859	55.1866949402291
WMC1137720	363.254694990389	67.7209862446499
WMC1137721	301.990172937659	486.890120384151
WMC1137722	101.513250834483	533.055106802223
WMC1137723	344.706015232726	79.0837869052109
WMC1137724	391.762672105007	504.405371850441
WMC1137725	349.772136130461	60.7840638246637
WMC1137727	106.048487719307	529.23572200761
WMC1137729	325.989808654478	337.908060971882
WMC1137730	417.156132033553	444.701824721556
WMC1137731	350.850594173743	27.0919203497937
WMC1137732	360.012134412033	35.7344703619371
WMC1137733	370.78968925754	45.7782321217814
WMC1137734	279.459012583759	254.166738688446
WMC1137735	395.059463981001	424.465500004529
WMC1137736	126.87401418092	521.41349036451
WMC1137737	357.222322181596	52.2720588868264
WMC1137740	394.721528368378	473.576347348781
WMC1137742	303.887615398319	69.3391280832217
WMC1137743	340.640676375632	66.0132359739378
WMC1137744	415.722072752978	404.334934050383
WMC1137745	351.232282406795	76.5124897111575
WMC1137746	397.569547200666	498.73629320061
WMC1137747	403.786949133709	455.557040742458
WMC1137748	230.902700236421	190.439450009665
WMC1137749	357.715001648391	348.378351161713
WMC1137750	360.75176843414	444.566780056804
WMC1137751	248.614934695608	218.899198517253
WMC1137752	359.889948750147	56.482957714526
WMC1137753	375.360446271041	42.7012544463506
WMC1137754	415.355689635147	442.906649249537
WMC1137755	354.628440762626	32.1242244643064
WMC1137757	369.943734172451	66.2994545859124
WMC1137758	413.378438805669	407.824573973603
WMC1137759	342.003459974243	486.607152147136
WMC1137760	374.085377757753	52.5996241940058
WMC1137761	36.4243872017637	136.208113857986
WMC1137762	366.583792884004	456.308458444993
WMC1137763	435.499265209365	443.311627392649
WMC1137764	347.034963340157	33.7606430729702
WMC1137765	349.244315089032	59.6192268981787
WMC1137766	250.732619133407	221.581320712247
WMC1137769	368.466595705938	390.457941960125
WMC1137770	368.637202414632	66.8896537253075
WMC1137771	420.473447164607	460.381290396966
WMC1137773	241.569592887863	209.127988486404
WMC1137774	366.132009576161	438.625955706717
WMC1137775	75.0171304493324	516.431389785801
WMC1137776	197.099061654331	187.711661192156
WMC1137777	356.87468150713	32.1556340541439
WMC1137778	354.65554476301	42.8732380373879
WMC1137779	352.497035772233	20.8912156059754
WMC1137781	345.735930561909	484.112888123675
WMC1137782	408.148090518326	447.37327867217
WMC1137783	311.043373240223	75.6400765134373
WMC1137786	411.300414092329	438.664683171838
WMC1137787	103.117082172392	542.994683656508
WMC1137788	350.987246939929	24.5959036521236
WMC1137790	411.278439841803	480.428460228897
WMC1137791	375.535976490056	58.4028641889148
WMC1137792	334.417747085551	341.65559902336
WMC1137793	316.361839157198	372.250883194283
WMC1137794	216.253106915253	184.097094837089
WMC1137795	648.389468982072	588.120430763813
WMC1137797	230.602107147546	215.463179172362
WMC1137801	339.77569508226	367.016577314957
WMC1137802	360.589534988697	53.5438110939795
WMC1137806	345.542817165008	69.2897225934634
WMC1137807	362.263393579556	73.4499665155199
WMC1137808	315.217287396734	306.84288614013
WMC1137809	348.272346448395	49.3384444510234
WMC1137810	351.360831504268	67.731279974027
WMC1137811	327.899749397553	332.396604855718
WMC1137812	353.916884491057	373.475129942439
WMC1137815	360.449697683485	48.84993776716
WMC1137816	359.362992924619	43.9040116175739
WMC1137817	29.7635294007756	137.680651510337
WMC1137818	388.838378645021	418.40663089251
WMC1137819	120.651095569306	522.893460488107
WMC1137820	361.977552311209	79.6522548628187
WMC1137821	254.258222494446	202.295065020097
WMC1137822	225.515259354047	192.795274330349
WMC1137823	928.75781645003	714.460945991597
WMC1137824	293.739330092208	113.564358291981
WMC1137825	350.82381445325	68.3958218147625
WMC1137826	345.272160144394	333.528707181757
WMC1137827	411.170492231014	429.865997521721
WMC1137828	339.614028986348	66.7401534329106
WMC1137829	424.610308602756	443.827863277848
WMC1137831	351.755051028325	50.029975206952
WMC1137832	388.235118938281	395.492725688366
WMC1137833	271.137628221291	113.422737169114
WMC1137834	418.415225855127	447.136466059606
WMC1137835	364.215862675734	46.2497359690022
WMC1137836	360.445951067672	40.7903891789291
WMC1137841	351.832133236272	348.526111810687
WMC1137842	184.713456011125	198.79842343709
WMC1137843	145.891310028725	550.51427235755
WMC1137845	361.782331314926	56.2781724478267
WMC1137846	335.564793897356	62.059302297761
WMC1137847	358.573034175043	68.2442625015447
WMC1137848	301.537091898868	67.3490005108416
WMC1137849	231.733498725517	205.71406258226
WMC1137852	383.814314357963	385.154727584488
WMC1137853	348.810141804994	29.5497719069325
WMC1137854	404.498100702799	512.608555099014
WMC1137855	362.592405791663	50.7821470268452
WMC1137856	113.830220550546	540.055163501097
WMC1137857	395.268175119334	473.157144004573
WMC1137858	362.312276826058	56.5467398450187
WMC1137859	126.291635239692	548.182030207715
WMC1137861	353.448321045018	51.3321193341447
WMC1137862	354.98131677502	44.1319072607774
WMC1137866	419.452075608331	428.12381471495
WMC1137867	355.010900479759	54.9368722562684
WMC1137868	96.5828920336334	551.489823307709
WMC1137869	389.18802701546	483.103610497279
WMC1137870	352.609706970483	49.4401333008959
WMC1137872	371.885928358758	77.2801352002892
WMC1137873	357.158342956569	48.0965047784969
WMC1137874	346.215673512842	70.4387774607207
WMC1137876	83.797102746408	516.86623800133
WMC1137877	359.46533008494	36.9301739002244
WMC1137878	76.4815200394197	531.419526280174
WMC1137879	324.319510787781	343.035656517437
WMC1137880	351.657165257971	30.5650626671092
WMC1137881	354.559605297673	67.6747906056964
