	x	y
WMC1017377	161.841815193511	159.134919347145
WMC1017378	496.55090179746	919.960258580026
WMC1017379	205.108130507783	37.0015182223016
WMC1017380	191.330953975247	34.0872958585043
WMC1017381	246.092134402361	348.01736746828
WMC1017382	205.625773538608	426.916772464776
WMC1017383	216.274709828207	402.716341281304
WMC1017385	237.201624362181	172.169288678346
WMC1017386	89.6678693688037	155.062569460964
WMC1017388	182.848497180935	58.5216050058768
WMC1017389	140.657858155747	81.8488704110837
WMC1017390	120.347535243573	72.3031489613004
WMC1017391	70.7958973967934	111.9600927205
WMC1017392	216.59369577298	380.706137942396
WMC1017393	131.701718194066	56.3513577135289
WMC1017394	284.723180090298	228.540855519794
WMC1017395	146.986977740991	48.3724610560063
WMC1017396	158.252485819101	136.266661214622
WMC1017397	95.5542783126483	168.365208117177
WMC1017398	116.578726531078	230.512921215978
WMC1017399	219.088856328849	353.178305381667
WMC1017400	55.3768560189037	92.9645901077582
WMC1017401	207.324739532467	128.728161704917
WMC1017402	120.580330224829	185.201023176577
WMC1017403	65.9944834035882	214.108707751024
WMC1017404	60.6015775095108	119.223451099593
WMC1017405	201.402319163286	95.0691219493798
WMC1017406	54.9152539512689	148.969864888274
WMC1017408	249.216701259297	124.864573216037
WMC1017409	146.057302801438	56.3949085224512
WMC1017410	90.4254694692136	743.309878056882
WMC1017411	84.9498739234953	156.712444905966
WMC1017412	205.678156416665	101.704790729172
WMC1017413	120.255198626511	144.591390665797
WMC1017414	299.227057400714	775.728557633527
WMC1017415	62.6155178161471	103.27190611684
WMC1017416	203.974951719553	401.500017785203
WMC1017417	84.4283234879099	133.410137058106
WMC1017418	233.515094379459	120.927119907938
WMC1017419	64.6923874183242	194.801261037338
WMC1017420	139.521250611419	133.347587025937
WMC1017421	81.6598226247841	165.740106122025
WMC1017422	127.344019965254	46.114973620542
WMC1017423	266.504488749369	297.528104495834
WMC1017424	48.556657176109	163.787357127553
WMC1017425	54.4341750688256	73.7241428496256
WMC1017426	57.4267406858533	103.425432135549
WMC1017427	237.649376698657	352.844014350457
WMC1017429	91.6578229837836	259.907315744998
WMC1017430	128.474478045396	732.699318622012
WMC1017431	112.215569604176	223.508877745756
WMC1017432	49.9180652888243	151.318243083691
WMC1017433	66.5595492570873	89.6467884441052
WMC1017434	120.094408587099	86.4524525700378
WMC1017435	62.3890133008938	133.611221627547
WMC1017436	212.751696007935	139.730148431509
WMC1017437	217.698755434343	308.350819097753
WMC1017438	66.0478050407646	108.801748809101
WMC1017439	118.806530217501	69.9365049737764
WMC1017440	171.522768050966	67.864547105056
WMC1017441	135.278544821085	70.8932107637905
WMC1017442	42.9867251064954	97.0718931771623
WMC1017443	177.361003850729	94.9699825529516
WMC1017444	205.772376644513	781.614902231189
WMC1017445	172.001286788819	80.7899421361316
WMC1017446	125.903991107605	415.407016496629
WMC1017448	101.077060080263	207.073738300574
WMC1017449	186.893601605068	83.3413804611066
WMC1017450	239.835183623284	175.866123029389
WMC1017451	177.584748566243	68.2929588601211
WMC1017452	223.045508092876	353.684614331537
WMC1017453	58.7358116935256	134.86484972681
WMC1017454	69.0339990033494	175.850505516588
WMC1017455	63.817598299037	125.976138548213
WMC1017456	68.7036370882261	94.3105716540644
WMC1017457	56.8018788244995	198.635958708809
WMC1017458	241.148814500002	110.187729029231
WMC1017459	56.8825567280954	145.366822928812
WMC1017460	63.1039875068211	100.060499733882
WMC1017461	211.427935300606	365.930349477063
WMC1017462	125.482725120564	47.007192878977
WMC1017463	227.357173116996	394.217151615936
WMC1017464	242.239856657602	132.722456057014
